,Postal_Code,15to17,18&19,20,21,22to24,25to29,30to34,35to39,40to44,45to49,50to54,55to59,18-29 yo,total pop,% YA,% YA (bin),total pop (bin)
0,30518,2535,1249,866,584,1928,2796,3082,3321,4396,4491,3579,3040,7423,31867,23.293689396554427,<25,30-40
1,30342,1338,457,64,269,1141,2731,2874,2529,2232,2317,1690,1581,4662,19223,24.252197887946732,<25,10-20
2,30318,921,1487,1201,871,4426,6790,5197,3706,3344,2245,2346,2142,14775,34676,42.60872072903449,35-45,30-40
3,30097,2855,576,375,274,1143,1649,2405,3420,4047,4152,4130,3911,4017,28937,13.88188132840308,<25,20-30
4,30263,2472,1241,797,509,2557,3722,3877,3853,3803,3976,3860,3746,8826,34413,25.64728445645541,25-35,30-40
5,30606,888,1521,1731,1054,3378,3450,3548,2832,2506,2028,2231,2533,11134,27700,40.194945848375454,35-45,20-30
6,30121,1197,686,375,303,1181,1941,1624,1385,1456,1683,1781,1708,4486,15320,29.281984334203653,25-35,10-20
7,30354,832,512,79,235,558,1340,1611,1454,1064,864,875,1159,2724,10583,25.739393366720208,25-35,10-20
8,30030,752,886,322,381,529,1439,2115,2461,2104,2089,1545,1729,3557,16352,21.752690802348337,<25,10-20
9,30517,436,396,162,78,342,836,1090,979,1158,893,790,739,1814,7899,22.964932269907585,<25,<10
10,30513,356,121,167,179,265,584,458,590,583,630,912,848,1316,5693,23.11610750043914,<25,<10
11,30144,2029,3804,2259,2186,3426,4843,3519,3338,3877,3881,3197,2935,16518,39294,42.036952206443736,35-45,30-40
12,31901,158,246,125,152,390,676,487,238,434,424,522,518,1589,4370,36.36155606407323,35-45,<10
13,31833,264,225,14,37,130,481,402,414,362,319,547,305,887,3500,25.342857142857145,25-35,<10
14,30720,1352,737,413,511,1418,2330,1692,1739,1891,1982,1605,1322,5409,16992,31.83262711864407,25-35,10-20
15,31405,1244,945,823,456,1962,3396,2701,2289,2440,2168,2731,2254,7582,23409,32.38925199709514,25-35,20-30
16,30601,641,562,1120,1253,3144,2421,1721,1280,1161,1209,1175,1096,8500,16783,50.64648751713043,45-55,10-20
17,30601,641,562,1120,1253,3144,2421,1721,1280,1161,1209,1175,1096,8500,16783,50.64648751713043,45-55,10-20
18,30009,510,604,100,111,315,962,1020,1081,884,1133,1250,888,2092,8858,23.61706931587266,<25,<10
19,30144,2029,3804,2259,2186,3426,4843,3519,3338,3877,3881,3197,2935,16518,39294,42.036952206443736,35-45,30-40
20,30458,1061,4674,2257,2564,4582,3491,2850,1788,1734,1868,1798,1792,17568,30459,57.67753373387177,55-65,30-40
21,30533,1055,1756,1463,853,1420,1359,1147,1199,1497,1379,1645,1688,6851,16461,41.6195856873823,35-45,10-20
22,30339,452,169,262,346,1837,3868,2889,1675,1535,962,1385,1228,6482,16608,39.02938342967245,35-45,10-20
23,30315,916,853,716,322,1522,2779,3056,2784,2350,2389,2071,1829,6192,21587,28.683930143141705,25-35,20-30
24,30513,356,121,167,179,265,584,458,590,583,630,912,848,1316,5693,23.11610750043914,<25,<10
25,30144,2029,3804,2259,2186,3426,4843,3519,3338,3877,3881,3197,2935,16518,39294,42.036952206443736,35-45,30-40
26,30076,1855,1082,538,238,1473,3528,3687,3514,3625,2638,3031,2932,6859,28141,24.373689634341353,<25,20-30
27,30075,2647,1060,324,346,1007,2417,3127,3456,3654,4514,4966,4144,5154,31662,16.2781883646011,<25,30-40
28,31601,1266,1742,1078,871,2357,2711,2029,1724,1656,1981,1767,1996,8759,21178,41.358957408631596,35-45,20-30
29,30060,1629,1827,904,882,1531,3052,2946,3410,2844,2092,2575,1628,8196,25320,32.3696682464455,25-35,20-30
30,30096,2602,1415,744,647,3008,5213,6256,5178,5009,5220,5137,3851,11027,44280,24.902890695573625,<25,>40
31,30305,564,288,84,94,1675,2751,2386,1994,1784,1574,1435,1053,4892,15682,31.195000637673765,25-35,10-20
32,30341,1115,593,491,370,1127,3801,3648,2998,2269,1741,1749,1643,6382,21545,29.621721977256904,25-35,20-30
33,30513,356,121,167,179,265,584,458,590,583,630,912,848,1316,5693,23.11610750043914,<25,<10
34,31520,852,605,355,206,902,1621,1391,1399,1452,1157,1456,1721,3689,13117,28.123808797743386,25-35,10-20
35,30341,1115,593,491,370,1127,3801,3648,2998,2269,1741,1749,1643,6382,21545,29.621721977256904,25-35,20-30
36,30067,1473,951,487,722,2330,5475,4260,3609,3056,2931,3312,2722,9965,31328,31.808605720122575,25-35,30-40
37,30809,2321,1219,697,518,1399,2972,2520,2857,3390,3251,3478,2732,6805,27354,24.87753162243182,<25,20-30
38,30228,2309,1006,556,531,1097,2942,2910,2824,2904,3200,3083,1906,6132,25268,24.26784866233972,<25,20-30
39,30005,2469,957,404,280,926,1747,2403,3142,3408,3759,3689,3130,4314,26314,16.394314813407313,<25,20-30
40,30060,1629,1827,904,882,1531,3052,2946,3410,2844,2092,2575,1628,8196,25320,32.3696682464455,25-35,20-30
41,30504,1111,671,377,535,1276,2129,1664,1696,1447,1437,1537,1193,4988,15073,33.09228421681152,25-35,10-20
42,30269,1853,1039,380,290,875,1414,1795,1982,2564,2604,3067,2676,3998,20539,19.4654072739666,<25,20-30
43,31201,201,413,241,201,575,983,718,361,411,444,484,471,2413,5503,43.84880974014174,35-45,<10
44,30064,1997,1008,444,509,1272,2271,2717,3488,3108,3399,3222,3449,5504,26884,20.473143877399195,<25,20-30
45,30308,87,223,122,205,1183,3696,2737,1904,1210,1175,854,881,5429,14277,38.02619597954752,35-45,10-20
46,31705,1280,1332,996,867,1805,2533,2035,1646,1936,1727,2031,2046,7533,20234,37.229415834733615,35-45,20-30
